 256 ;     499451 ;  Keypress space
 257 ;     499882 ;  Keypress d
 258 ;     500024 ;  Keypress i
 259 ;     500155 ;  Keypress d
 260 ;     500339 ;  Keypress n
 261 ;     500563 ;  Keypress t
 262 ;     500681 ;  Keypress space
 263 ;     506348 ;  Keypress backspace
 264 ;     506525 ;  Keypress backspace
 265 ;     506671 ;  Keypress backspace
 266 ;     506811 ;  Keypress backspace
 267 ;     506939 ;  Keypress backspace
 268 ;     507069 ;  Keypress backspace
 269 ;     507471 ;  Keypress u
 270 ;     507565 ;  Keypress n
 271 ;     507718 ;  Keypress d
 272 ;     507835 ;  Keypress e
 273 ;     508251 ;  Keypress s
 274 ;     508442 ;  Keypress t
 275 ;     508889 ;  Keypress i
 276 ;     509558 ;  Keypress m
 277 ;     509682 ;  Keypress a
 278 ;     509993 ;  Keypress t
 279 ;     510038 ;  Keypress e
 280 ;     510108 ;  Keypress space
 281 ;     510283 ;  Keypress d
 282 ;     510422 ;  Keypress e
 283 ;     510653 ;  Keypress backspace
 284 ;     510749 ;  Keypress backspace
 285 ;     510867 ;  Keypress t
 286 ;     510991 ;  Keypress h
 287 ;     511085 ;  Keypress e
 288 ;     511180 ;  Keypress space
 289 ;     511391 ;  Keypress d
 290 ;     511598 ;  Keypress a
 291 ;     511695 ;  Keypress m
 292 ;     511789 ;  Keypress a
 293 ;     511927 ;  Keypress g
 294 ;     512021 ;  Keypress e
 295 ;     512110 ;  Keypress space
 296 ;     512229 ;  Keypress l
 297 ;     512354 ;  Keypress o
 298 ;     512397 ;  Keypress l
 299 ;     512614 ;  Keypress enter
 300 ;     512851 ;  Keypress space
 301 ;     513655 ;  Right Click
 302 ;     513780 ;  Right Click
 303 ;     513813 ;  Keypress space
 304 ;     514598 ;  Right Click
 305 ;     515662 ;  Right Click
 306 ;     515711 ;  Keypress space
 307 ;     521360 ;  Right Click
 308 ;     521484 ;  Keypress space
 309 ;     522991 ;  Right Click
 310 ;     523282 ;  Right Click
 311 ;     523516 ;  Right Click
 312 ;     523732 ;  Right Click
 313 ;     523811 ;  Keypress space
 314 ;     525873 ;  Right Click
 315 ;     526297 ;  Keypress space
 316 ;     527478 ;  Right Click
 317 ;     527687 ;  Keypress space
 318 ;     528548 ;  Right Click
 319 ;     528648 ;  Keypress space
 320 ;     530448 ;  Right Click
 321 ;     530551 ;  Right Click
 322 ;     530771 ;  Right Click
 323 ;     530980 ;  Right Click
 324 ;     531050 ;  Keypress space
 325 ;     536664 ;  Right Click
 326 ;     536883 ;  Keypress space
 327 ;     540159 ;  Right Click
 328 ;     540290 ;  Keypress space
 329 ;     541550 ;  Right Click
 330 ;     541724 ;  Keypress space
 331 ;     543663 ;  Keypress w
 332 ;     543784 ;  Keypress space
 333 ;     545873 ;  Keypress q
 334 ;     545997 ;  Keypress space
 335 ;     547302 ;  Right Click
 336 ;     547372 ;  Keypress space
 337 ;     547372 ;  Right Click
 338 ;     547489 ;  Keypress space
 339 ;     548966 ;  Right Click
 340 ;     548979 ;  Keypress space
 341 ;     549491 ;  Keypress space
 342 ;     549491 ;  Keypress w
 343 ;     549573 ;  Right Click
 344 ;     549598 ;  Keypress space
 345 ;     550410 ;  Right Click
 346 ;     550628 ;  Right Click
 347 ;     550756 ;  Keypress space
 348 ;     555378 ;  Right Click
 349 ;     555583 ;  Right Click
 350 ;     556212 ;  Keypress space
 351 ;     559404 ;  Right Click
 352 ;     559485 ;  Right Click
 353 ;     559629 ;  Keypress space
 354 ;     561201 ;  Keypress space
 355 ;     564825 ;  Right Click
 356 ;     565034 ;  Right Click
 357 ;     565256 ;  Keypress space
 358 ;     569833 ;  Right Click
 359 ;     570016 ;  Keypress space
 360 ;     572649 ;  Right Click
 361 ;     572851 ;  Keypress space
 362 ;     577414 ;  Keypress space
 363 ;     579279 ;  Right Click
 364 ;     579433 ;  Keypress space
 365 ;     580667 ;  Keypress space
 366 ;     583399 ;  Right Click
 367 ;     583547 ;  Right Click
 368 ;     583646 ;  Keypress space
 369 ;     588419 ;  Keypress space
 370 ;     589361 ;  Right Click
 371 ;     589534 ;  Right Click
 372 ;     589652 ;  Keypress space
 373 ;     590866 ;  Right Click
 374 ;     590983 ;  Keypress space
 375 ;     592573 ;  Right Click
 376 ;     592740 ;  Keypress space
 377 ;     593845 ;  Right Click
 378 ;     593847 ;  Keypress space
 379 ;     595130 ;  Keypress space
 380 ;     597595 ;  Right Click
 381 ;     597716 ;  Keypress space
 382 ;     599622 ;  Right Click
 383 ;     599732 ;  Keypress space
 384 ;     602330 ;  Right Click
 385 ;     602704 ;  Keypress space
 386 ;     604323 ;  Right Click
 387 ;     604385 ;  Keypress space
 388 ;     607210 ;  Right Click
 389 ;     607412 ;  Keypress space
 390 ;     609633 ;  Right Click
 391 ;     609728 ;  Right Click
 392 ;     609918 ;  Keypress space
 393 ;     611667 ;  Keypress r
 394 ;     611808 ;  Keypress space
 395 ;     611809 ;  Left Click
 396 ;     612015 ;  Keypress space
 397 ;     612560 ;  Right Click
 398 ;     612659 ;  Keypress space
 399 ;     613667 ;  Keypress w
 400 ;     613724 ;  Right Click
 401 ;     613790 ;  Keypress space
 402 ;     616732 ;  Keypress Alt+ 
 403 ;     616914 ;  Keypress Alt+ 
 404 ;     617122 ;  Keypress space
 405 ;     618244 ;  Right Click
 406 ;     618374 ;  Keypress space
 407 ;     619414 ;  Right Click
 408 ;     619535 ;  Keypress space
 409 ;     621565 ;  Right Click
 410 ;     622565 ;  Keypress e
 411 ;     623377 ;  Right Click
 412 ;     623606 ;  Right Click
 413 ;     624125 ;  Right Click
 414 ;     624800 ;  Left Click
 415 ;     625260 ;  Right Click
 416 ;     625579 ;  Right Click
 417 ;     625639 ;  Keypress space
 418 ;     626631 ;  Right Click
 419 ;     626968 ;  Right Click
 420 ;     627365 ;  Keypress space
 421 ;     630384 ;  Right Click
 422 ;     630588 ;  Right Click
 423 ;     630802 ;  Right Click
 424 ;     631009 ;  Right Click
 425 ;     631244 ;  Right Click
 426 ;     631811 ;  Right Click
 427 ;     632375 ;  Right Click
 428 ;     632635 ;  Keypress space
 429 ;     639981 ;  Keypress e
